iter	Passed	Remaining
0	49	4934
1	51	2521
2	51	1678
3	52	1261
4	53	1008
5	53	838
6	54	717
7	54	626
8	55	556
9	55	500
10	56	453
11	56	414
12	56	380
13	57	352
14	57	327
15	58	305
16	58	286
17	59	269
18	59	254
19	60	240
20	60	227
21	60	215
22	61	205
23	61	195
24	62	186
25	62	178
26	63	170
27	63	163
28	63	156
29	64	150
30	64	143
31	64	137
32	65	132
33	65	127
34	65	122
35	66	117
36	66	113
37	67	109
38	67	105
39	67	101
40	68	98
41	68	94
42	69	91
43	69	88
44	69	85
45	70	82
46	70	79
47	71	77
48	71	74
49	71	71
50	72	69
51	72	67
52	73	64
53	73	62
54	74	60
55	74	58
56	74	56
57	75	54
58	75	52
59	76	50
60	76	48
61	77	47
62	77	45
63	77	43
64	78	42
65	78	40
66	79	38
67	79	37
68	79	35
69	80	34
70	80	32
71	80	31
72	81	30
73	81	28
74	82	27
75	82	26
76	82	24
77	83	23
78	83	22
79	84	21
80	84	19
81	84	18
82	85	17
83	85	16
84	85	15
85	86	14
86	86	12
87	86	11
88	87	10
89	87	9
90	88	8
91	88	7
92	88	6
93	89	5
94	89	4
95	89	3
96	90	2
97	90	1
98	90	0
99	91	0
